parcel_id,source_id,observation_time,air_temperature_c,dewpoint_temperature_c,relative_humidity_pct,precipitation_m,solar_radiation_jm2,wind_u_10m,wind_v_10m,evaporation_m
1,3,2023-02-24 12:00:00,10.554077,0.46694946,49.672462,0.0,2.433472e+06,0.6025543,-0.33171082,-0.00014711823
1,3,2023-02-25 12:00:00,9.898102,2.1217957,58.439873,9.536743e-07,1.718976e+06,3.1920319,-1.0273285,-0.00013057748
1,3,2023-02-26 12:00:00,11.406097,6.260132,70.645164,3.33786e-05,1.69472e+06,1.0319214,-2.8974762,-0.00015397323
1,3,2023-02-27 12:00:00,10.532196,-0.9442444,44.89686,0.0,2.310208e+06,0.39250183,-1.3905945,-0.00015501701
1,3,2023-02-28 12:00:00,10.656372,-3.726532,36.2482,0.0,2.367424e+06,-0.2756195,-0.74972534,-0.00015664892
1,3,2023-03-01 12:00:00,9.735382,-2.250122,43.01979,0.0,2.557376e+06,-0.2768097,-1.9851379,-0.00014835899
1,3,2023-03-02 12:00:00,11.708557,-2.2897644,37.617638,0.0,2.586432e+06,-0.72306824,-1.0349121,-0.00014043995
1,3,2023-03-03 12:00:00,13.49411,-1.3368835,35.89439,0.0,2.53312e+06,0.25115967,-0.7822418,-0.00014618342
1,3,2023-03-04 12:00:00,15.260529,1.0137634,37.981068,0.0,2.5008e+06,-0.44096375,1.1520996,-0.00018324936
1,3,2023-03-05 12:00:00,10.18692,6.5469666,78.13743,0.0004606247,749568.0,-0.44041443,2.1017609,-0.00014672219
1,3,2023-03-06 12:00:00,13.930817,10.33255,78.92028,7.200241e-05,1.25408e+06,0.17910767,3.7605133,-0.00015243399
1,3,2023-03-07 12:00:00,15.899933,9.740814,66.826416,1.001358e-05,1.292608e+06,3.6665344,0.57118225,-0.00014301739
1,3,2023-03-08 12:00:00,16.520905,12.085297,75.05688,1.4305115e-05,1.398912e+06,5.07782,3.1671753,-0.000148369
1,3,2023-03-09 12:00:00,17.93399,15.21579,84.134026,0.0001373291,1.215616e+06,6.0016937,2.5157318,-0.0001511604
1,3,2023-03-10 12:00:00,17.528961,11.401886,67.309654,0.0,2.022656e+06,1.8639221,-0.05076599,-0.000177762
1,3,2023-03-11 12:00:00,18.048492,13.209656,73.358574,4.7683716e-07,1.271808e+06,2.9327393,-2.10141,-0.00012028194
1,3,2023-03-12 12:00:00,18.291168,12.695404,69.86113,0.0,2.527424e+06,-0.39500427,-1.297699,-0.00020037754
1,3,2023-03-13 12:00:00,17.469147,11.72757,69.03404,2.3841858e-06,2.265536e+06,4.6129,-0.042495728,-0.00017417851
1,3,2023-03-14 12:00:00,16.010162,6.8423767,54.516388,0.0,2.73664e+06,1.4146271,-2.0600433,-0.00019960199
1,3,2023-03-15 12:00:00,21.446747,5.88443,36.32972,0.0,2.768256e+06,-1.8945618,-0.13485718,-0.00024625543
1,3,2023-03-16 12:00:00,21.174774,5.5524597,36.10125,0.0,2.274112e+06,0.3564148,3.068634,-0.00020449213
1,3,2023-03-17 12:00:00,16.54898,8.816711,60.25346,9.536743e-07,2.152448e+06,3.7368011,2.1164093,-0.0001761925
1,3,2023-03-18 12:00:00,15.134735,7.3580017,59.732185,5.00679e-05,1.498752e+06,2.2510376,-2.7338715,-0.00012792065
1,3,2023-03-19 12:00:00,18.640717,7.523102,48.368435,0.0,2.83104e+06,-2.5196838,-1.7300568,-0.00021514879
1,3,2023-03-20 12:00:00,21.275055,6.503479,38.31516,0.0,2.827584e+06,0.6388397,0.3105774,-0.00023528491
1,3,2023-03-21 12:00:00,21.407135,7.676819,41.185467,0.0,2.861568e+06,1.4260712,0.12036133,-0.00022646738
1,3,2023-03-22 12:00:00,20.656403,7.344818,42.163162,0.0,2.922432e+06,1.737503,-0.04421997,-0.00021610642
1,3,2023-03-23 12:00:00,20.98944,7.169464,40.815697,0.0,2.758528e+06,2.846817,2.3369293,-0.00020011794
1,3,2023-03-24 12:00:00,17.819366,11.555145,66.76217,6.771088e-05,1.383872e+06,3.5007782,-0.22872925,-0.00011757598
1,3,2023-03-25 12:00:00,20.847687,7.60318,42.41094,0.0,2.88672e+06,1.0721741,-0.6851959,-0.00021554902
1,3,2023-03-26 12:00:00,18.524017,10.249512,58.566933,1.9073486e-06,1.9536e+06,2.2264862,-1.9047394,-0.00012653926
1,3,2023-03-27 12:00:00,20.008453,3.1394043,32.763317,0.0,2.072512e+06,-1.3175201,-1.7340088,-0.00015823985
1,3,2023-03-28 12:00:00,25.026062,2.6595764,23.348215,0.0,2.996224e+06,-0.16438293,0.10983276,-0.00022283196
1,3,2023-03-29 12:00:00,25.109283,6.1362305,29.630783,0.0,3.017024e+06,1.4177704,0.9217224,-0.00021102373
1,3,2023-03-30 12:00:00,21.068512,10.20517,49.870544,0.0,2.980864e+06,2.4069977,0.3146057,-0.00017698924
1,3,2023-03-31 12:00:00,18.21939,12.647278,69.955536,5.340576e-05,"1096000000,000",3.8843231,-0.32289124,-9.5717376e-05
1,3,2023-04-01 12:00:00,19.954498,10.668671,55.09362,4.7683716e-06,2.881984e+06,3.616867,-3.2587433,-0.00016562268
1,3,2023-04-02 12:00:00,19.797516,4.0998535,35.516598,0.0,3.127808e+06,-0.74516296,-2.213913,-0.000206911
1,3,2023-04-03 12:00:00,21.858551,-0.38464355,22.711594,0.0,3.106688e+06,-0.13143921,-0.792984,-0.00022026687
1,3,2023-04-04 12:00:00,23.275116,2.1020203,24.926437,0.0,3.097728e+06,-1.8379517,-0.6652069,-0.00020405301
1,3,2023-04-05 12:00:00,23.27353,-0.90371704,20.067762,0.0,3.2304e+06,-3.1921997,-2.527542,-0.00019326457
